Sl.No,Tours,Name of the Tour Regular Tours,Time and Places Covered
11,Optional Tours,One Day – Suruttapalli Tour,"All Pradosham days from : 9.30 a.m. to 8.00 p.m. Places covered: Kakalur (Sri Anjaneyar), Thiruvallur (Sri Veeraraghava Perumal), Suruttapalli (Sri Pallikondeswarar)."
12,Optional Tours,One Day –    Sakthi Tour    (Deviar Darshan),"Time 7.00 a.m. to 7.00 p.m. ( Every Tuesday, Friday, Sunday & Full Moondays)Places covered: Mangadu (Kamatchi Amman), Thiruverkadu (Devi Karumariamman), Poonamallee (Devi Thaiyal Nayagi), Thirumullaivoil (Devi Vaisnavi Amman, Kodiudai Amman), Chempulivaram (Devi Chenkallamman), Panchati (Ananda Valliamman with three eye), Melur (Thiruvudal Amman), Thiruvoitriyur (Devi Vadivudai Amman). "
13,Optional Tours,  One DayThirumal Darshan Tour (Nine Balaji Temples around Chennai),"Time 7.00 a.m. to 8.00 p.m. ( Every Saturday, Sunday & Shravan Days) Places covered: Koyambedu (Vaigundavasa Perumal) - Thirumazhisai (Jagannatha Perumal) - Thiruninravur (Bakthavatchalaperumal) – Sriperumbudur (Adikesavaperumal) - Pazhaya Seevaram (Lakshmi Narashimhaswamy) – Thirumalai Vaiyavur (Prasanna Venkatesa Perumal) – Ponpatharkottam (Sathurpuja Ramar) - Mamallapuram (Sthala Sayana Perumal) - Thiruvidanthai (Adhivaragha Perumal, Nidhya Kalyana Perumal) "
14,Optional Tours,"One Day St.Thomas Mount, Vandaloor Zoo and Kishkintha Tour","St. Thomas Mount, Vandalur Zoo and Kishkintha"
15,Optional Tours,One Day Fun and Entertainment  Tour,"On every Saturday, Sunday & Government Holidays from  9.30 a.m. to 8.15 p.m.Places covered: Mayajall, MGM, VGP"
16,Optional Tours,One Day – Tiruthani – Kalahasti – Nallathor – Mathur Tour,On every Sudnay from 6.30 a.m. to 9.00 p.m. Places covered: Tiruthani – Kalahasti – Nallathor – Mathur.
17,Optional Tours,One Day  Tennangur – Uthiramerur – Maduran-thagam Tour,"On every Saturday and Sunday from 7.00 a.m. to 7.00 p.m.Places covered: Thennangur (Pandurangan Raghumaye Temple), Uthiramerur (Sundara Varadharaja Perumal), Maduranthagam (Earikatha Ramar Temple)"
18,Optional Tours,Three Days  Nava Tirupathigal (Thirunelveli)  Tour,"Leaves Chennai on every First and Third Friday at 7.00 p.m. and return by 8.00 p.m. on Monday Places covered: SirVaikundam, Thirupulliankudi, Eratai Thirupathi (Two temples), Thirukolloor, Thirunelveli* (Nellaiappar), Sri Varagunamangai, Thirukuzhanthai, Then Thiruperai, Alwar Thirunagari, Thiruchendur."
19,Optional Tours,Three Days – Panchabootha-sthalangal Tour,"Leaves Chennai on every Friday at 7.00 a.m. and return by 8.00 p.m. on Sunday Places covered: Kalahasthi (Sri Kalahastiswaraswamy –Air), Kancheepuram* (Sri Ekambareshwar-Earth), Thiruvannamalai (Arunachaleswarar-Fire), Ramanashram, Trichy*, Thiruvanaikaval (Jambukeswarar-Water), Chidambaram (Sri Nadarajar-Ether)"
20,Optional Tours,4 Days – Arupadai Veedu Tour (Lord Muruga Tour),"Leaves Chennai on every Thursday at 7.00 a.m. and return by 10.00 p.m. on Sunday.Places covered: Tiruthani,  Swamimalai, Thanjavur *, Tiruchendur *, Madurai *, Pazhamudhir solai, Thiruparmkundram, Palani."
21,Optional Tours,4 Days – Chozha Nattu Tirupathigal Tour,"Leaves Chennai every First and Third Friday at 10.00 p.m. and returns the following Tuesday by 6.00 a.m. Places covered: Sirkazhi, Thirunagari, Thirunangur, Thiruvellakulam (Annankovil), Thiruvihandur, Thirukkanapuram, Thirunagai, Nagapattinam *, Thirukkannamangai, Thirucherai, Thiruvinnagar, (Oppiliappan Kovil), Thirunaraiyur (Nachiar Kovil), Kumbakonam, Thirukkandiyur, Thanjavur, Thirukkarambanur (Uthamar Kovil), Tiruchi *, Thiruvellarai, Thirukkozhi (Uraiyur), Thiruvarangam (Sri Rangam)."
22,Optional Tours,5 Days – Pandiya Nattu Tirupathigal Tour,"Leaves Chennai every Second and Fourth Friday at 9.00 p.m. and returns on the following Wednesday by 5.00 a.m. Places covered: Tiruchi, Thirumeyyam, Thirukottiyur, Thiruppullani, Madurai *, Koodalazakar Kovil (Madurai), Thiruthangal, Sreevillipputhur, Thirunelveli *, Nava Thirupathigal, Thirukkurugudi, Vanamamalai, Madurai *, Thirumohoor, Alagarkoil, Meenakshi Amman Koil, Srirangam."
23,Optional Tours,7 Days – Mookambika Tour,"Leaves Chennai every Sunday at 7.00 a.m. and returns on the following Saturday by 6.00 p.m. Places covered: Bangalore, Hosur *, Sharvanabelegola, Belur, Haleibed, Hassan *, Sringeri, Mookambika (Kollur), Udippi *, Dharmastala, Subramaniya, Mysore *, Hoganekkal."
24,Optional Tours,7 Days – Andhra Tour,"Leaves Chennai every Friday at 7.00 a.m. and returns the following Thursday by 8.00 p.m. Places covered: Narayanavanam, Konai falls, Sri Kalahasthi, Nellore *, Vijayawada *, Mangalagiri, Hyderabad *, Nagarjuna Sagar Dam*, Srisailam, Nandyal *."
25,Optional Tours,8 Days – Goa – Mantralayam Tour,"Leaves Chennai every Saturday at 7.00 a.m. and returns on the following Saturday by 8.00 p.m.Places covered: Ahobilam, Nandyal *, Mahanandhi, Srisailam *, Manthralayam *, Hampi-Hospet *, Goa **, Bangalore *. "
26,Optional Tours,14 Days Mumbai – Ajantha – Ellora Tour,"Leaves Chennai at 7.00 a.m. every First and Third Saturday and returns on the 14th day evening. Places covered: Bangalore *, Hampi, Hospet *, Virupaksha Temple, Monolithic Narashimha, Elephant Stables, Queen’s Bath, Vittala Temple, Badami Caves, Badami *, Aihole, Pattadakkal, Golgumbaz (Bijapur), Sri Vital Temple, Pandaripuram *, Mahabaleeswar (Hill Station ) Lake, Jothilingam, Pune *, (Agakhan Palace), Mumbai *, Prince of Whales Museum, Kamala Nehru Park, Hanging Garden, Taraporewala Aquarium, Juhu Beach, Hare Rama Hare Krishna Temple, Marine Drive, Mumbai *, Gate Way of India, Elephanta Cave, Nasik Mukthitham, Shridi Sai Baba Temple Shridi *, Aurangabad *, Bibikamaqbara *, Grihadeswara Temple, Ellora Caves, Khuldabad, Ajantha Caves, Golconda Fort, Birla Mandhir, Hyderabad **, Charminar, Salarjung Museum Zoo, Nandyal *, Mahanandhi."
27,Optional Tours,14 Days – Puri Gaya – Kasi – Allahabad Tour,"Leaves Chennai at 8.00 a.m. every second and fourth Saturdays and returns on the 14th day evening. Places covered: Suruttapalli, Kalahasti, Nellore *, Mangalagiri, Undavalli cave, Holy Dip in Krishna River, kanaga Durga Temple, Vijayawada *, Annavaram, Simhachalam, Visakapatnam *, Khandagiri, Udayagiri, Bhubaneswar *,  Ranchi *, Gaya, Bodhgaya *, Varanasi (Kasi *), Holy Dip in Ganga River Temple, Saranath, Banaras Hindu University, Anjanayer Temple, Maihar *, Nagpur *, Hyderabad **, Golkonda, Birla Mandir, Charminar, Salarjung Museum, Nandyal *, Mahanandhi."
28,Optional Tours,108 Amman Temples ,Leaves Chennai Friday / Tuesday 6.00 a.m. and returns on the following Tuesday / Saturday at 9.00 p.m
29,Optional Tours,One day Navagraga Tour (Temples around Chennai),Leaves Chennai on every Saturday and Sunday at 6.30 a.m. and returns.
